ID 1,Name,weitere Bezeichnung,Datum,Jahr,Originaleintrag
616,NEOS - Das Neue Österreich und Liberales Forum,"Kurzbezeichnung ""NEOS""",10.08.2012,2012,"616 ""NEOS - Das Neue Österreich und Liberales Forum"", Kurzbezeichnung ""NEOS"" 10.08.2012"
617,Neue Männerpartei Österreichs (NMÖ),,20.04.2009,2009,"617 ""Neue Männerpartei Österreichs (NMÖ)"" 20.04.2009"
618,NEUE MITTE,,17.11.1975,1975,"618 ""NEUE MITTE"" 17.11.1975"
619,NEUE ORDNUNG (NO),,04.05.1987,1987,"619 ""NEUE ORDNUNG (NO)"" 04.05.1987"
620,NEUE PARTEI ÖSTERREICH,,01.12.1997,1997,"620 ""NEUE PARTEI ÖSTERREICH"" 01.12.1997"
621,NEUE VOLKSPARTEI,"kurz ""NVP""",15.06.1989,1989,"621 ""NEUE VOLKSPARTEI"", kurz ""NVP"" 15.06.1989"
622,NEUES EUROPA,,20.10.1987,1987,"622 ""NEUES EUROPA"" 20.10.1987"
623,Neues Leben,,22.09.1982,1982,"623 ""Neues Leben"" 22.09.1982"
624,Neusoziale demokratische Partei,(NSDP),11.12.1981,1981,"624 ""Neusoziale demokratische Partei"" (NSDP) 11.12.1981"
625,Neutrales Österreich,,10.04.1996,1996,"625 ""Neutrales Österreich"" 10.04.1996"
626,Neutrales Österreich,"Kurzbezeichnung ""NEU""",29.04.1996,1996,"626 ""Neutrales Österreich"", Kurzbezeichnung ""NEU"" 29.04.1996"
627,NICHT - Erste Österreichische Nicht-Partei,"Kurzfassung ""NICHT""",03.12.2014,2014,"627 ""NICHT - Erste Österreichische Nicht-Partei"", Kurzfassung ""NICHT"" 03.12.2014"
